@relation MVMotion 
@attribute Ax0 numeric
@attribute Ax1 numeric
@attribute Ax2 numeric
@attribute Ax3 numeric
@attribute Ax4 numeric
@attribute Ax5 numeric
@attribute Ax6 numeric
@attribute Ax7 numeric
@attribute Ax8 numeric
@attribute Ax9 numeric
@attribute Ax10 numeric
@attribute Ax11 numeric
@attribute Ax12 numeric
@attribute Ax13 numeric
@attribute Ax14 numeric
@attribute Ax15 numeric
@attribute Ax16 numeric
@attribute Ax17 numeric
@attribute Ax18 numeric
@attribute Ax19 numeric
@attribute Ax20 numeric
@attribute Ax21 numeric
@attribute Ax22 numeric
@attribute Ax23 numeric
@attribute Ax24 numeric
@attribute Ax25 numeric
@attribute Ax26 numeric
@attribute Ax27 numeric
@attribute Ax28 numeric
@attribute Ax29 numeric
@attribute Ax30 numeric
@attribute Ax31 numeric
@attribute Ay0 numeric
@attribute Ay1 numeric
@attribute Ay2 numeric
@attribute Ay3 numeric
@attribute Ay4 numeric
@attribute Ay5 numeric
@attribute Ay6 numeric
@attribute Ay7 numeric
@attribute Ay8 numeric
@attribute Ay9 numeric
@attribute Ay10 numeric
@attribute Ay11 numeric
@attribute Ay12 numeric
@attribute Ay13 numeric
@attribute Ay14 numeric
@attribute Ay15 numeric
@attribute Ay16 numeric
@attribute Ay17 numeric
@attribute Ay18 numeric
@attribute Ay19 numeric
@attribute Ay20 numeric
@attribute Ay21 numeric
@attribute Ay22 numeric
@attribute Ay23 numeric
@attribute Ay24 numeric
@attribute Ay25 numeric
@attribute Ay26 numeric
@attribute Ay27 numeric
@attribute Ay28 numeric
@attribute Ay29 numeric
@attribute Ay30 numeric
@attribute Ay31 numeric
@attribute Az0 numeric
@attribute Az1 numeric
@attribute Az2 numeric
@attribute Az3 numeric
@attribute Az4 numeric
@attribute Az5 numeric
@attribute Az6 numeric
@attribute Az7 numeric
@attribute Az8 numeric
@attribute Az9 numeric
@attribute Az10 numeric
@attribute Az11 numeric
@attribute Az12 numeric
@attribute Az13 numeric
@attribute Az14 numeric
@attribute Az15 numeric
@attribute Az16 numeric
@attribute Az17 numeric
@attribute Az18 numeric
@attribute Az19 numeric
@attribute Az20 numeric
@attribute Az21 numeric
@attribute Az22 numeric
@attribute Az23 numeric
@attribute Az24 numeric
@attribute Az25 numeric
@attribute Az26 numeric
@attribute Az27 numeric
@attribute Az28 numeric
@attribute Az29 numeric
@attribute Az30 numeric
@attribute Az31 numeric
@attribute Gx0 numeric
@attribute Gx1 numeric
@attribute Gx2 numeric
@attribute Gx3 numeric
@attribute Gx4 numeric
@attribute Gx5 numeric
@attribute Gx6 numeric
@attribute Gx7 numeric
@attribute Gx8 numeric
@attribute Gx9 numeric
@attribute Gx10 numeric
@attribute Gx11 numeric
@attribute Gx12 numeric
@attribute Gx13 numeric
@attribute Gx14 numeric
@attribute Gx15 numeric
@attribute Gx16 numeric
@attribute Gx17 numeric
@attribute Gx18 numeric
@attribute Gx19 numeric
@attribute Gx20 numeric
@attribute Gx21 numeric
@attribute Gx22 numeric
@attribute Gx23 numeric
@attribute Gx24 numeric
@attribute Gx25 numeric
@attribute Gx26 numeric
@attribute Gx27 numeric
@attribute Gx28 numeric
@attribute Gx29 numeric
@attribute Gx30 numeric
@attribute Gx31 numeric
@attribute Gy0 numeric
@attribute Gy1 numeric
@attribute Gy2 numeric
@attribute Gy3 numeric
@attribute Gy4 numeric
@attribute Gy5 numeric
@attribute Gy6 numeric
@attribute Gy7 numeric
@attribute Gy8 numeric
@attribute Gy9 numeric
@attribute Gy10 numeric
@attribute Gy11 numeric
@attribute Gy12 numeric
@attribute Gy13 numeric
@attribute Gy14 numeric
@attribute Gy15 numeric
@attribute Gy16 numeric
@attribute Gy17 numeric
@attribute Gy18 numeric
@attribute Gy19 numeric
@attribute Gy20 numeric
@attribute Gy21 numeric
@attribute Gy22 numeric
@attribute Gy23 numeric
@attribute Gy24 numeric
@attribute Gy25 numeric
@attribute Gy26 numeric
@attribute Gy27 numeric
@attribute Gy28 numeric
@attribute Gy29 numeric
@attribute Gy30 numeric
@attribute Gy31 numeric
@attribute Gz0 numeric
@attribute Gz1 numeric
@attribute Gz2 numeric
@attribute Gz3 numeric
@attribute Gz4 numeric
@attribute Gz5 numeric
@attribute Gz6 numeric
@attribute Gz7 numeric
@attribute Gz8 numeric
@attribute Gz9 numeric
@attribute Gz10 numeric
@attribute Gz11 numeric
@attribute Gz12 numeric
@attribute Gz13 numeric
@attribute Gz14 numeric
@attribute Gz15 numeric
@attribute Gz16 numeric
@attribute Gz17 numeric
@attribute Gz18 numeric
@attribute Gz19 numeric
@attribute Gz20 numeric
@attribute Gz21 numeric
@attribute Gz22 numeric
@attribute Gz23 numeric
@attribute Gz24 numeric
@attribute Gz25 numeric
@attribute Gz26 numeric
@attribute Gz27 numeric
@attribute Gz28 numeric
@attribute Gz29 numeric
@attribute Gz30 numeric
@attribute Gz31 numeric
@attribute activity {Badminton_Smash, Badminton_Clear, Squash_ForehandBoast, Squash_BackhandBoast} ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@data

0.71340156,0.71340156,-0.52770495,3.2564476,15.382824,21.188942,21.188942,23.969063,15.070649,4.0726733,-1.038974,-1.0796682,2.8645937,9.8498,16.306728,7.9067283,-1.4672141,-5.383308,-3.009488,0.43465137,-1.1070943,0.9485035,0.9485035,0.49273872,1.1743174,1.1743174,-0.15621567,-2.4704056,0.37579632,-0.91530037,0.05033207,0.725605,0.41082478,0.41082478,0.26045227,0.042488575,-15.128683,-10.609436,-10.609436,7.705716,4.680483,2.0317774,-3.4371445,-4.5277147,-5.6887803,-9.788478,-10.134969,-11.094707,-7.2818403,-1.1859238,-1.2471871,-0.24480557,1.4863847,-0.6803515,-0.6803515,1.4955826,1.5940175,1.5940175,2.5468326,2.0282056,1.2383885,-1.7910545,-0.65257,-0.37093526,0.6427641,0.6427641,-7.0711513,-9.058572,-2.0749917,-2.9547498,-2.9547498,-12.66223,-8.589572,-3.5995097,-2.329156,0.84031916,-0.16990852,0.5605955,0.565258,3.2778625,2.5470905,0.77882004,1.4113474,2.227357,0.5794625,1.9976325,1.9976325,-1.2950845,-1.7889185,-1.7889185,0.49829817,-0.6592908,-0.612453,2.1306617,1.1735752,0.9595163,0.407496,0.407496,-0.44744658,-2.6367388,-1.7791328,18.209478,18.209478,2.5701544,-1.2251514,-1.1692206,-0.6258925,1.1905276,-0.32493144,-2.610105,-4.216119,-3.7633455,-3.3798199,-3.2679582,-2.4076889,-1.2144979,-0.68448675,-0.5087042,-0.5087042,-0.41015938,-0.35156518,-0.35156518,-0.6871501,-0.82298213,-0.8815763,-0.42880297,-0.585942,-0.45810008,0.047940705,0.047940705,-1.201181,-1.6699346,-13.332843,-18.222795,-18.222795,3.6301768,2.767244,0.5513181,-1.2091712,-2.788551,-3.4517307,-4.173505,-3.3718297,-1.8510439,-0.6658431,0.59659547,0.67383325,-0.37287214,-0.88690305,-0.30895123,-0.30895123,0.23704016,0.013316862,0.013316862,0.034623843,-0.16779247,-0.6818234,-0.4447832,-0.17311922,0.22105992,0.17045584,0.17045584,-1.8909945,-1.9256184,-3.6994245,1.9682323,1.9682323,10.562936,3.8885238,0.7963484,-2.2745202,-3.3585129,-4.0856137,-4.9485464,-5.6649933,-3.947118,-3.17474,-2.2265794,-1.6246573,-1.400934,-0.09055467,0.15980235,0.15980235,-0.13316862,-0.9454973,-0.9454973,-1.0999728,-0.9987647,-1.2810822,-0.700467,-0.36221868,0.22105992, Squash_ForehandBoast
0.4680457,0.4680457,-0.1265781,0.044709206,11.578948,14.359944,14.359944,25.724138,25.724138,4.6670465,0.042666376,-0.6893973,3.0030794,3.0030794,6.3591833,8.141161,0.34896946,0.34896946,-3.3080213,-2.1475458,-0.8961549,0.34631586,2.8823633,2.7141342,-1.3055844,-0.24330378,0.38778973,0.50642204,0.54706955,1.9042411,-0.49128437,1.3657513,0.59206176,0.59206176,-0.16938877,3.1957579,-4.408781,-14.649231,-14.649231,-1.5211852,-1.5211852,4.992859,-1.7354794,-4.14057,-10.28145,-10.28145,-4.526834,-8.726415,-5.0652814,-5.0652814,-0.6922078,0.85168314,2.5620842,4.243348,2.5706892,1.5394948,0.017043114,-0.35244274,-0.65672183,2.184894,-1.6987734,-0.7551899,3.958569,3.6884215,-0.40018463,-0.40018463,-4.613245,-5.641217,-18.250896,-3.8126464,-3.8126464,-10.840358,-10.840358,-3.6594453,-1.7577243,-0.44349527,6.6438937,6.6438937,5.053717,3.8461113,0.5973253,0.5973253,0.87149286,1.0679379,-0.10341263,-0.95106316,0.5938616,1.9708204,-0.6653471,-0.53257275,-1.1735845,-0.11553812,1.0528414,1.0373447,1.8046222,0.80136704,-0.3489018,-0.3489018,-0.5513181,-0.8389624,-2.2771835,-1.7471724,-1.7471724,3.030918,3.030918,-1.5580729,0.89489317,0.20507969,-0.09055467,-0.09055467,-0.18377271,-3.475701,-2.1466782,-2.1466782,-1.6486276,-1.4994787,-1.0307251,-0.22638667,-0.71378386,-0.9002199,-0.07191106,-0.09055467,-0.26633725,-1.608677,-2.5967882,-2.5355306,-2.0641136,-1.2491218,0.002663373,0.002663373,-1.7524991,-1.9708956,-2.130698,-12.898713,-12.898713,-1.4781717,-1.4781717,-0.19708957,-1.4968153,-2.5062335,-3.8698802,-3.8698802,-4.2906933,-2.8418186,-0.42081288,-0.42081288,0.6152391,0.6871501,0.43945646,-0.21839654,-0.8070019,-0.6125757,-0.386189,-0.47940707,0.02130698,-0.034623843,-0.12784189,0.636546,1.0813292,0.8895664,0.047940705,0.047940705,-2.381055,-1.8057666,-0.386189,-1.0387152,-1.0387152,11.937236,11.937236,1.5687264,-2.436986,-3.433087,-4.3732576,-4.3732576,-4.932566,-5.3933296,-3.089512,-3.089512,-1.9282818,-1.1612304,-0.80966526,-0.74840766,-0.7377542,-1.1532403,-0.18110934,-0.02130698,-0.60991234,-0.4927239,0.05060408,0.50337744,0.70579374,0.3009611, Squash_ForehandBoast
0.81755257,0.81755257,0.025501192,-0.7452214,2.7926884,11.56603,15.664053,23.533215,26.0979,15.374426,5.312767,-1.2258967,-1.062851,5.0361843,6.5405607,5.3497343,3.4387033,-1.2296519,-1.9391503,-1.6903682,0.30405283,0.30405283,1.7341242,1.7341242,1.163054,0.30241585,1.1438751,0.45093155,0.45093155,0.04973173,0.08025074,-0.26935053,1.6357925,1.6357925,-0.25020647,-1.6862602,-1.6508045,-5.5123587,-14.843782,8.993401,-9.331043,3.4314995,6.1188717,-1.9709044,-3.6919656,-9.301645,-8.488449,-9.55584,-7.088055,-1.7544985,0.24513268,2.144946,2.4226654,2.4226654,2.513279,2.513279,0.65164804,0.74154353,0.45730686,0.7133322,0.7133322,1.1340264,0.65392613,0.6770551,0.52351665,0.52351665,-7.205099,-5.9074125,-15.335487,-17.413906,2.4604979,-10.312293,-11.558752,-6.6914105,-4.212261,-2.2163513,2.574759,4.61945,5.3790717,0.07199383,3.67305,3.2684417,2.8161297,1.4815335,0.9166918,0.9166918,0.21002674,0.21002674,-0.45699406,-1.3247304,-0.81852484,-1.0552201,-1.0552201,-0.30148268,-0.001297474,0.15863562,0.013316862,0.013316862,0.034623843,-0.098544784,-2.737947,-3.1214726,-0.3382483,19.52252,0.22905004,0.25834712,-0.6871501,-0.70579374,0.45810008,-1.3636467,-0.69247687,-3.3611763,-2.7645807,-2.7406104,-2.2425597,-3.0522249,-0.7830315,-0.7830315,-0.31694132,-0.31694132,0.17045584,-0.21573317,0.061257567,-0.3302582,-0.3302582,-0.45810008,-0.54599136,-0.44744658,0.013316862,0.013316862,-0.60724896,-2.0641136,-2.2052724,-1.9629055,-14.211756,-11.345967,3.7500286,1.9442619,0.35422856,-1.400934,-3.273285,-3.9338012,-4.2081285,-3.0548882,-2.26653,-1.2198247,0.13050525,0.67383325,0.5539815,0.5539815,-0.22372329,-0.22372329,-0.16246572,0.22905004,0,-0.26633725,-0.26633725,-0.4261396,-0.08256455,-0.10387153,0.039950587,0.039950587,-2.3970354,-2.1067276,-1.6832515,-0.2823175,-0.8070019,9.423012,12.603079,5.262824,2.3038173,-2.02949,-4.173505,-5.033774,-5.0177937,-4.5010996,-3.5902262,-2.2185893,-1.787123,-0.41282275,-0.32226807,-0.32226807,-0.3595553,-0.3595553,-0.7377542,-0.5752885,-0.37020877,-0.24769364,-0.24769364,-0.1464855,-0.3196047,-0.22638667, Squash_ForehandBoast
1.7149303,1.7149303,0.8101058,11.801357,13.340332,21.183626,27.2363,23.096342,6.2243047,-0.051411986,1.5033175,6.766696,7.908575,-1.7117174,0.33130527,-1.0700758,0.66683745,0.16701794,-0.980021,1.918663,1.47927,1.1501989,0.9544525,1.0287952,-0.13728523,-0.11964035,-0.041627884,-0.2522087,-0.21241188,-0.26624393,-0.15476227,-0.15476227,1.4196601,1.4196601,0.7923937,-4.3577166,-12.541992,28.287766,-6.8305583,5.2352057,6.340337,-1.6273508,-6.1063404,-8.3636675,-10.141973,-9.199775,-0.35073805,-0.919021,-0.22914886,2.341827,3.7353897,-3.4515095,2.7238715,1.8527607,1.5977304,0.25124335,0.2795663,-0.092149496,-0.4124186,-0.1758151,-0.47086453,-0.17535925,-0.02631569,-0.02631569,0.84754467,0.84754467,-7.359021,-17.949936,-11.671839,-3.537778,-3.5049284,-7.119627,-3.201105,-1.7362647,1.7422683,8.118036,5.042284,6.5036087,3.7431955,-1.3764234,-1.4447417,-4.1124043,-0.9992509,3.086938,1.4354706,-0.69434834,-0.49138665,-1.5016565,-1.6953275,-1.4086435,-0.56267166,0.1648016,0.5857527,0.3023138,0.419317,0.419317,0.65518963,0.65518963,-0.9641409,-1.8590341,-0.814992,18.14822,0.3009611,3.8299298,-0.13050525,0.05060408,0.18110934,0.22105992,-2.5328672,-2.5355306,-1.0067549,-0.055930823,-1.9309452,-1.8936579,0.98278445,-2.394372,-1.1345967,-0.8469525,-0.51136756,-0.27699074,-0.7457443,-1.2065078,-1.3290229,-1.400934,-1.0946461,-0.94816065,-0.4847338,-0.4847338,-0.3409117,-0.3409117,-1.8936579,-2.2212527,-10.712085,-13.849537,-2.9190564,1.1532403,-0.4367931,-1.3822904,-3.4836912,-4.961863,-4.322654,-3.5689192,0.28498086,-0.04261396,-0.35156518,-0.087891296,-1.0333885,-1.723202,-0.46875358,0.02130698,-0.08256455,0.24503027,0.14382212,0.058594197,-0.002663373,-0.023970352,0.005326745,0.13849537,0.013316862,0.013316862,-0.37287214,-0.37287214,-2.0001929,-1.4035974,-0.9215269,5.8301225,11.4791355,7.705137,2.0454702,-1.9549154,-3.6221867,-3.773999,-4.6582384,-3.6328402,-2.823175,-2.2931638,-1.3263595,-1.4195776,-2.215926,-1.8350637,0,-0.029297099,-0.25568378,-0.7084571,-0.49006054,-0.62056583,-0.57795185,-0.39151576,-0.25834712,-0.111861646,0.007990118,0.007990118, Squash_ForehandBoast
0.6980524,0.6980524,9.14527,9.14527,12.0037,26.278173,26.886654,14.718047,9.132042,-1.4142147,-2.0083406,2.084756,3.9239264,7.9435563,6.507484,1.4590094,-2.4821267,-1.6130612,-1.6130612,1.6349368,-0.5795722,-0.5795722,-0.38265085,-0.38265085,-1.2300773,-1.2300773,-1.0725517,0.98934174,0.98934174,0.021616936,0.63030815,-0.81943893,1.0617387,1.0617387,-2.6827407,-2.6827407,-10.734459,8.582318,10.652476,-0.4962263,7.3661947,1.0762024,-3.970487,-7.699354,-8.221872,-10.611561,-8.603106,-4.818227,-1.0212431,0.7417059,0.7417059,1.7275047,2.157661,2.157661,0.18709087,0.18709087,-0.2590871,-0.2590871,-0.038532734,0.08760023,0.08760023,0.26157522,0.63926685,-0.4729445,1.1311693,1.1311693,-17.08371,-17.08371,-15.2795105,-14.099365,-1.8686428,-4.5530033,-4.495907,-2.8363721,-0.7642324,6.6829467,3.8809528,4.641218,2.392293,1.28619,0.9017806,1.8388519,1.8388519,1.5781789,0.41932058,0.41932058,-0.1876018,-0.1876018,-0.21932411,-0.21932411,0.38019228,1.2250028,1.2250028,1.8189764,0.7133217,1.3164246,0.4554367,0.4554367,-2.5009067,-2.5009067,0.407496,16.584822,14.219746,0.18643607,-1.6219939,-1.0999728,-0.73509085,-2.3171341,-1.7604892,-0.24503027,-1.5607363,-1.5820433,-3.4517307,-2.4316592,-2.4316592,-1.5633997,-1.171884,-1.171884,0.4660902,0.4660902,-0.09588141,-0.09588141,-0.3302582,-0.7457443,-0.7457443,-1.0999728,-1.5980235,-1.4195776,0.14914887,0.14914887,-1.6965684,-1.6965684,-6.719689,1.1905276,4.487783,4.7008524,1.5367659,-0.8176554,-2.852472,-3.1587598,-2.3144708,-1.9975294,-2.1280346,-1.8457172,-0.27965412,0.950824,0.950824,-0.25568378,-0.14115874,-0.14115874,0.10120816,0.10120816,-0.11985177,-0.11985177,-0.4847338,-0.35422856,-0.35422856,0.407496,0.31427795,0.407496,-0.111861646,-0.111861646,-1.2917356,-1.2917356,-0.90821004,13.444705,11.108927,4.7647734,2.8711157,-0.093218036,-2.5541742,-3.731385,-5.198903,-5.6570034,-4.9698534,-3.0042841,-2.2505498,-1.544756,-1.544756,0.031960472,0.13316862,0.13316862,-0.8043385,-0.8043385,-0.74840766,-0.74840766,-0.8283089,-0.9881112,-0.9881112,-0.99343795,-0.30628785,0.10919827, Squash_ForehandBoast
1.1250066,1.1250066,1.4521132,1.4521132,12.625101,15.085587,22.709412,26.268911,18.06712,4.1853333,-2.4488287,2.8373132,3.4814396,2.3442593,3.9316783,5.7804103,3.4797587,4.9357467,2.4968843,-1.4446921,-1.6339054,-1.2471919,0.13646317,1.6018257,0.71100616,0.76915836,0.2357912,-0.2202568,0.12937832,-0.44768333,0.26700497,0.31783867,2.2003992,2.2003992,5.357979,5.357979,-8.945795,-12.890421,11.809851,10.172947,5.623603,5.3546705,2.5423422,-6.171946,-8.038814,-8.197649,-9.8506975,-3.6027696,0.09292579,-0.9612336,-1.8640738,-3.2969275,-2.9814498,-1.2040668,0.09070921,0.26630187,1.0875776,1.5789934,0.76770735,-0.3952844,-1.4795166,-1.8965547,-2.1283662,-2.039623,-0.7013302,-0.7013302,-5.7640653,-5.7640653,-16.372095,-0.21853781,4.4584527,-4.463313,-4.3347526,-3.481839,-0.31497097,3.346964,1.7237039,2.570395,2.9476175,0.7146864,0.39966822,1.4509292,2.5673852,0.13192677,0.17696857,-0.7850771,-1.2464457,-0.42337918,-0.06918526,0.0759933,-0.37087202,-0.37272215,0.3130734,-0.030277967,-0.411036,-1.1501336,0.18110934,0.18110934,-1.3290229,-1.3290229,-4.490446,-2.1759753,16.704672,5.4013195,1.0067549,0.271664,-0.9241903,1.1532403,-0.3116146,-0.002663373,-1.1905276,-3.5369587,-2.0108464,-3.1161458,-3.9950588,-4.482456,-1.150577,-0.35422856,0.19176282,-0.18110934,0.51669425,0.76172453,0.59659547,0.037287217,-0.30362448,-0.49805066,-0.30895123,-0.18909945,0.13849537,0.13849537,-1.7178752,-1.7178752,-0.86559606,-11.950553,-9.558844,-1.7072217,2.1679852,0.3781989,-0.6818234,-2.780561,-2.7832243,-2.8125215,-3.3904734,-2.7406104,-2.3597481,-1.9629055,-0.6498629,0.12784189,0.22372329,0.10387153,-0.43412971,-0.6898135,-0.700467,-0.39950588,-0.14382212,-0.29829773,-0.3302582,-0.15713897,0.031960472,0.22105992,0.055930823,0.055930823,-1.3316863,-1.3316863,-1.4728451,-2.202609,10.610876,11.985176,5.8727365,2.0135098,-0.585942,-3.9657617,-4.5889907,-4.9006057,-4.5730104,-4.4984365,-4.980507,-4.4771295,-2.25854,-0.67383325,0.07723781,0.3382483,0.47141695,0.15713897,0.17844597,-0.05326745,-0.30895123,-0.46076345,-0.54865474,-0.5140309,-0.38086227,-0.015980236, Squash_ForehandBoast
0.57013226,0.57013226,5.964112,12.295582,16.90765,24.562218,26.823362,18.016188,2.0872126,0.36477596,0.36477596,5.663532,5.663532,6.3846083,6.275485,6.275485,-4.994291,-4.994291,-1.7757969,-1.7757969,0.4255967,0.007833004,0.754262,-0.24343014,-0.36791134,-0.9594784,0.036967278,-0.942482,0.19002533,-0.37608862,0.73009014,-0.31258106,1.3404658,1.3404658,-0.70625496,-3.7527456,-15.685685,18.653772,-3.7129958,3.2863245,4.88632,-3.7280176,-3.7280176,-7.604319,-7.604319,-9.359974,-7.5106006,-7.5106006,-3.5974357,-3.5974357,0.52363443,0.52363443,1.1281576,4.3731556,1.5730791,0.9633398,0.50424814,0.8555012,0.18077421,0.12037039,1.2257171,0.764143,0.85992074,1.5069954,0.63086796,0.63086796,-11.312232,-14.285755,3.8774881,0.7275808,-10.984312,-4.9846973,-4.8410983,-0.45931816,-0.45931816,1.3554444,1.3554444,-2.4117374,1.6910477,1.6910477,4.0101976,4.0101976,2.8277202,2.8277202,2.7696733,0.48315668,1.375248,0.40408468,0.3790474,-0.7849126,0.7207413,0.22287607,1.3079119,1.4929957,0.99118376,-0.632534,0.02130698,0.02130698,-2.9323733,-3.2067006,0.8256455,15.3117285,2.1839654,-0.07191106,-2.4050255,-0.7537344,-0.7537344,0.21839654,0.21839654,-3.5635924,-1.9389352,-1.9389352,-2.466283,-2.466283,-0.86825943,-0.86825943,-0.6818234,-0.33558494,0.5300111,0.52468437,0.21573317,0.055930823,-0.31427795,-0.5699617,-0.26900062,-0.15980235,0.17045584,-1.1692206,0.09055467,0.09055467,-1.9389352,-1.9602422,-14.352915,-4.261396,2.0428069,3.3105721,-0.18377271,-1.1772107,-1.1772107,-2.2771835,-2.2771835,-2.0827572,-2.309144,-2.309144,0.5513181,0.5513181,0.86825943,0.86825943,0.46342683,0.20774306,-0.25834712,-0.045277335,0.25035703,-0.013316862,-0.30628785,-0.20241632,-0.39950588,-0.2823175,-0.37287214,-0.36754543,0.07191106,0.07191106,-2.194619,-0.63388264,-2.0907474,11.303353,11.455165,5.009804,1.0094182,-3.2892652,-3.2892652,-4.620951,-4.620951,-4.52507,-5.254834,-5.254834,-2.2505498,-2.2505498,-0.098544784,-0.098544784,0.8895664,0.9348438,0.15447561,0.18909945,-0.14914887,-0.13849537,-0.20774306,-0.28764424,-0.6658431,-0.8789129,-1.0546955,-1.0467054, Squash_ForehandBoast
1.3223541,1.3223541,0.28980684,11.033571,14.699572,22.964867,26.647552,21.742107,1.4680386,-1.8766038,-3.174628,3.9029193,6.1080017,9.462065,8.926817,3.432344,-1.9798894,-2.1415255,-1.1660676,0.49988842,-0.26530266,0.39699173,0.39699173,-1.2002933,-0.88756084,1.1971893,1.1971893,1.6069765,-0.2869768,-1.2946367,-0.21762466,2.1731243,2.4879026,2.4879026,3.1478176,-0.10815525,-8.240512,-11.270087,1.552537,8.708589,5.8710566,0.59613323,-5.041266,-8.068668,-7.8643236,-10.776472,-6.2373834,-2.9971547,-3.5753706,-0.36390853,1.8906064,1.7517884,2.8440247,0.85468006,0.85468006,3.074174,1.7960343,-0.50606346,-0.50606346,-0.7419276,-1.9470295,-2.1396656,-1.8255701,-0.003128529,-0.012203217,-0.012203217,-7.2857466,-13.659121,-2.8104897,3.9726455,-4.6801925,-6.5347176,-2.8102293,-3.3692484,-1.321629,4.079666,1.8051786,-0.056075096,6.926052,2.643361,1.1248722,1.365375,1.2625918,2.317113,-0.5431018,0.3366289,0.3366289,-0.1367507,0.31081057,2.5446477,2.5446477,1.8142602,2.8584633,0.44235516,-0.124981165,-0.11541557,0.2903076,0.2903076,-2.1546683,-1.2544484,-2.8125215,15.151926,4.626278,2.546184,-0.58860534,-0.6605164,1.0174084,0.22905004,-0.15980235,-2.5568376,-3.489018,-2.6500556,-2.0987375,-1.337013,-1.1905276,-1.251785,-0.94816065,-0.8922298,-0.8922298,-0.7457443,-1.0253984,-0.25035703,-0.25035703,-0.5326745,0.093218036,0.47940707,0.836299,0.42347625,-0.19708957,-0.19708957,-1.8563707,-1.400934,-11.162194,-14.976144,0.564635,2.8924227,1.2624385,-0.32226807,-2.0694404,-3.760682,-3.7180681,-4.4584856,-3.4224336,-0.25568378,0.60724896,0.8922298,0.7111205,0.4767437,0.51136756,0.111861646,0.111861646,-0.38352564,-0.69514024,-1.0839926,-1.0839926,-0.9614775,0.14382212,0.8469525,0.74840766,1.1559037,0.15980235,0.15980235,-2.0721037,-1.7125485,-0.8789129,5.276141,11.891958,7.9048896,2.5967882,-1.4968153,-4.216119,-4.8207045,-4.932566,-4.889952,-3.7633455,-3.3851466,-2.695333,-1.5633997,-0.39151576,-0.50337744,-0.32493144,-0.407496,-0.407496,-0.60991234,-1.3929439,-1.4621916,-1.4621916,-0.8922298,-0.19975294,0.08256455,0.007990118,0.029297099, Squash_ForehandBoast
0.8403673,0.8403673,12.174569,17.859533,26.199692,26.851217,11.974688,2.5165606,-1.2393659,2.3063238,5.798518,4.240307,3.2006955,3.2024057,-2.1099582,-2.8140488,0.24437046,1.4717951,-0.43140316,0.50605965,0.5014496,0.9339037,0.08975506,0.08975506,0.22206306,0.22206306,1.4492226,0.12975693,0.12975693,-0.17828941,0.11221886,0.28733826,1.6644452,1.6644452,-10.681919,-15.555649,-8.029817,-1.4721215,6.02297,3.3886547,-1.1606474,-5.8094144,-7.4470544,-9.953878,-4.9925375,-4.216713,-3.7967463,-0.15133536,-1.3177161,-3.3522725,-2.490145,-2.1892796,-0.97242844,-0.1183244,0.81704617,0.81704617,0.29338717,0.29338717,-1.5554469,-1.3505248,-1.3505248,-2.053386,-1.3196048,-1.6575093,-0.4071493,-0.4071493,-14.424572,1.2248297,-11.603975,-6.2094493,-5.181726,-0.66152954,-0.81277657,0.10786009,3.3867655,2.2023134,4.313052,3.808282,0.41704082,0.4168706,0.9407563,1.2143645,1.8116271,1.113816,-0.124286175,-0.49975848,-1.6441627,-1.6441627,-2.540964,-2.540964,-0.87260175,-0.35156178,-0.35156178,-0.35856557,-0.928926,-1.3034914,-0.2423669,-0.2423669,-1.1266066,7.934187,5.8487663,4.6715555,-0.793685,-0.55930823,0.7297641,0.8895664,-0.17578259,-2.1679852,-2.008183,-2.3384411,-2.3917086,-2.1466782,-3.3851466,-4.194812,-0.37287214,0.16246572,0.6818234,1.5261124,1.0706757,1.0706757,-0.05060408,-0.05060408,-1.6592811,-1.4488747,-1.4488747,-1.0120816,-0.60991234,-0.36221868,0.02130698,0.02130698,-3.2759483,-14.848302,-3.896514,1.0573589,1.994866,0.031960472,-1.4994787,-2.9403634,-3.84591,-3.3558495,-3.1347895,-2.074767,-1.4701817,-2.0587869,-1.7551625,-1.12927,-0.40483263,-0.122515135,0.14382212,0.23437679,0.60724896,0.60724896,-0.19176282,-0.19176282,-0.17844597,-0.037287217,-0.037287217,0.17311922,0.23970354,0.45810008,-0.002663373,-0.002663373,-4.2640595,-3.7979693,11.79874,9.212605,4.405218,0.9534874,-2.8151848,-4.0110393,-3.9071674,-4.3066735,-4.7408032,-4.346624,-4.0563164,-3.5769093,-3.0415714,-1.7897863,-0.45277333,0.543328,1.3210328,1.7205386,1.6539544,1.6539544,-0.28764424,-0.28764424,-0.84162575,-0.4554367,-0.4554367,-0.15980235,0.16779247,0.64453614, Squash_ForehandBoast
